file,class,contact_sheets,contact_rows,distinct_emails,multiemail_cells,fwdfill_rows,mapped_fields,google
220110-Contacts.csv,HEADERLESS_EMAILS,1,56,56,0,0,,
220110-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
220114-Contacts.xlsx,MANUAL,1,32,33,0,9,company|contact|discipline|mobile|phone,
220116-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
220119-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
220120-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
220123-Contacts.xlsx,AUTO,1,32,32,0,0,address|company|contact|discipline|email|mobile|phone,
220125-Contacts.xlsx,MANUAL,1,78,105,0,48,company|contact|discipline|mobile|phone|role,
220133-Contacts.xlsx,AUTO,1,18,17,0,0,company|contact|discipline|email|phone,
220139-Contacts.xlsx,HEADERLESS_EMAILS,1,29,29,0,0,,
220141-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
